item_id,title,category,price,image_url
0,Product_0,Outerwear,40.22,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&auto=format&fit=crop&q=80
1,Product_1,Tops,55.58,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=400&auto=format&fit=crop&q=80
2,Product_2,Accessories,41.51,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=400&auto=format&fit=crop&q=80
3,Product_3,Tops,45.78,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=400&auto=format&fit=crop&q=80
4,Product_4,Tops,62.04,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=400&auto=format&fit=crop&q=80
5,Product_5,Footwear,43.61,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&auto=format&fit=crop&q=80
6,Product_6,Accessories,162.97,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=400&auto=format&fit=crop&q=80
7,Product_7,Accessories,28.24,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=400&auto=format&fit=crop&q=80
8,Product_8,Accessories,101.54,https://images.unsplash.com/photo-1523206489230-c012c64b2b48?w=400&auto=format&fit=crop&q=80
9,Product_9,Tops,82.72,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=400&auto=format&fit=crop&q=80
10,Product_10,Outerwear,177.09,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400&auto=format&fit=crop&q=80
11,Product_11,Accessories,33.49,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=400&auto=format&fit=crop&q=80
12,Product_12,Bottoms,80.65,https://images.unsplash.com/photo-1582552938357-32b906df40cb?w=400&auto=format&fit=crop&q=80
13,Product_13,Tops,174.96,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=400&auto=format&fit=crop&q=80
14,Product_14,Footwear,157.81,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&auto=format&fit=crop&q=80
15,Product_15,Outerwear,149.82,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&auto=format&fit=crop&q=80
16,Product_16,Bottoms,57.55,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400&auto=format&fit=crop&q=80
17,Product_17,Bottoms,43.2,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400&auto=format&fit=crop&q=80
18,Product_18,Footwear,125.33,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400&auto=format&fit=crop&q=80
19,Product_19,Outerwear,168.35,https://images.unsplash.com/photo-1544441893-675973e31985?w=400&auto=format&fit=crop&q=80
20,Product_20,Tops,106.87,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=400&auto=format&fit=crop&q=80
21,Product_21,Dresses,109.32,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400&auto=format&fit=crop&q=80
22,Product_22,Outerwear,61.2,https://images.unsplash.com/photo-1544441893-675973e31985?w=400&auto=format&fit=crop&q=80
23,Product_23,Footwear,141.97,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400&auto=format&fit=crop&q=80
24,Product_24,Bottoms,45.86,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400&auto=format&fit=crop&q=80
25,Product_25,Tops,68.41,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=400&auto=format&fit=crop&q=80
26,Product_26,Outerwear,85.2,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&auto=format&fit=crop&q=80
27,Product_27,Dresses,98.76,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400&auto=format&fit=crop&q=80
28,Product_28,Dresses,55.0,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400&auto=format&fit=crop&q=80
29,Product_29,Accessories,33.95,https://images.unsplash.com/photo-1523206489230-c012c64b2b48?w=400&auto=format&fit=crop&q=80
30,Product_30,Accessories,115.75,https://images.unsplash.com/photo-1509319117193-57bab727e09d?w=400&auto=format&fit=crop&q=80
31,Product_31,Footwear,62.62,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&auto=format&fit=crop&q=80
32,Product_32,Outerwear,110.9,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&auto=format&fit=crop&q=80
33,Product_33,Outerwear,40.47,https://images.unsplash.com/photo-1544441893-675973e31985?w=400&auto=format&fit=crop&q=80
34,Product_34,Bottoms,94.39,https://images.unsplash.com/photo-1517445312882-bc9910d016b7?w=400&auto=format&fit=crop&q=80
35,Product_35,Bottoms,102.88,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400&auto=format&fit=crop&q=80
36,Product_36,Bottoms,23.55,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400&auto=format&fit=crop&q=80
37,Product_37,Accessories,70.54,https://images.unsplash.com/photo-1509319117193-57bab727e09d?w=400&auto=format&fit=crop&q=80
38,Product_38,Outerwear,37.18,https://images.unsplash.com/photo-1544441893-675973e31985?w=400&auto=format&fit=crop&q=80
39,Product_39,Outerwear,25.46,https://images.unsplash.com/photo-1544441893-675973e31985?w=400&auto=format&fit=crop&q=80
40,Product_40,Dresses,178.34,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=400&auto=format&fit=crop&q=80
41,Product_41,Accessories,68.19,https://images.unsplash.com/photo-1509319117193-57bab727e09d?w=400&auto=format&fit=crop&q=80
42,Product_42,Tops,148.63,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=400&auto=format&fit=crop&q=80
43,Product_43,Accessories,57.02,https://images.unsplash.com/photo-1509319117193-57bab727e09d?w=400&auto=format&fit=crop&q=80
44,Product_44,Tops,127.45,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=400&auto=format&fit=crop&q=80
45,Product_45,Dresses,140.44,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=400&auto=format&fit=crop&q=80
46,Product_46,Footwear,113.28,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&auto=format&fit=crop&q=80
47,Product_47,Outerwear,92.81,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&auto=format&fit=crop&q=80
48,Product_48,Dresses,82.95,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400&auto=format&fit=crop&q=80
49,Product_49,Outerwear,72.56,https://images.unsplash.com/photo-1544441893-675973e31985?w=400&auto=format&fit=crop&q=80
50,Product_50,Bottoms,168.37,https://images.unsplash.com/photo-1582552938357-32b906df40cb?w=400&auto=format&fit=crop&q=80
51,Product_51,Footwear,152.05,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&auto=format&fit=crop&q=80
52,Product_52,Footwear,174.23,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&auto=format&fit=crop&q=80
53,Product_53,Dresses,35.51,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400&auto=format&fit=crop&q=80
54,Product_54,Footwear,135.59,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&auto=format&fit=crop&q=80
55,Product_55,Tops,169.83,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=400&auto=format&fit=crop&q=80
56,Product_56,Footwear,44.9,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&auto=format&fit=crop&q=80
57,Product_57,Outerwear,25.97,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&auto=format&fit=crop&q=80
58,Product_58,Outerwear,137.28,https://images.unsplash.com/photo-1544441893-675973e31985?w=400&auto=format&fit=crop&q=80
59,Product_59,Outerwear,109.79,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&auto=format&fit=crop&q=80
60,Product_60,Outerwear,153.9,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400&auto=format&fit=crop&q=80
61,Product_61,Tops,38.06,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=400&auto=format&fit=crop&q=80
62,Product_62,Accessories,146.22,https://images.unsplash.com/photo-1523206489230-c012c64b2b48?w=400&auto=format&fit=crop&q=80
