user_id,item_id,action,timestamp
355,154,1,2026-01-01 00:00:00
257,256,0,2026-01-01 00:01:00
717,234,0,2026-01-01 00:02:00
588,499,2,2026-01-01 00:03:00
988,288,3,2026-01-01 00:04:00
523,39,0,2026-01-01 00:05:00
294,287,2,2026-01-01 00:06:00
961,196,0,2026-01-01 00:07:00
223,272,2,2026-01-01 00:08:00
524,381,1,2026-01-01 00:09:00
45,263,0,2026-01-01 00:10:00
666,56,2,2026-01-01 00:11:00
112,297,2,2026-01-01 00:12:00
232,97,0,2026-01-01 00:13:00
16,136,1,2026-01-01 00:14:00
359,375,0,2026-01-01 00:15:00
222,86,2,2026-01-01 00:16:00
865,418,1,2026-01-01 00:17:00
699,241,0,2026-01-01 00:18:00
447,198,1,2026-01-01 00:19:00
855,462,1,2026-01-01 00:20:00
364,436,1,2026-01-01 00:21:00
674,309,0,2026-01-01 00:22:00
325,83,0,2026-01-01 00:23:00
466,241,1,2026-01-01 00:24:00
413,280,0,2026-01-01 00:25:00
454,322,0,2026-01-01 00:26:00
585,251,1,2026-01-01 00:27:00
232,189,0,2026-01-01 00:28:00
223,438,1,2026-01-01 00:29:00
993,429,1,2026-01-01 00:30:00
830,151,1,2026-01-01 00:31:00
411,481,0,2026-01-01 00:32:00
571,301,0,2026-01-01 00:33:00
334,277,0,2026-01-01 00:34:00
221,138,2,2026-01-01 00:35:00
36,175,0,2026-01-01 00:36:00
988,7,3,2026-01-01 00:37:00
277,294,1,2026-01-01 00:38:00
195,234,2,2026-01-01 00:39:00
915,162,0,2026-01-01 00:40:00
863,48,0,2026-01-01 00:41:00
483,301,2,2026-01-01 00:42:00
241,37,0,2026-01-01 00:43:00
323,135,0,2026-01-01 00:44:00
730,309,0,2026-01-01 00:45:00
191,420,3,2026-01-01 00:46:00
16,218,1,2026-01-01 00:47:00
523,347,1,2026-01-01 00:48:00
917,295,1,2026-01-01 00:49:00
400,33,0,2026-01-01 00:50:00
905,351,1,2026-01-01 00:51:00
885,78,0,2026-01-01 00:52:00
704,235,2,2026-01-01 00:53:00
21,382,0,2026-01-01 00:54:00
473,272,0,2026-01-01 00:55:00
119,160,1,2026-01-01 00:56:00
209,174,0,2026-01-01 00:57:00
305,365,1,2026-01-01 00:58:00
269,307,0,2026-01-01 00:59:00
703,373,0,2026-01-01 01:00:00
686,463,0,2026-01-01 01:01:00
284,220,1,2026-01-01 01:02:00
715,8,0,2026-01-01 01:03:00
675,288,1,2026-01-01 01:04:00
762,443,0,2026-01-01 01:05:00
226,112,0,2026-01-01 01:06:00
947,476,0,2026-01-01 01:07:00
380,204,2,2026-01-01 01:08:00
459,404,1,2026-01-01 01:09:00
6,185,0,2026-01-01 01:10:00
28,340,1,2026-01-01 01:11:00
906,196,2,2026-01-01 01:12:00
32,265,0,2026-01-01 01:13:00
645,261,2,2026-01-01 01:14:00
